









Frequency of observations in the selected location(s).:
Number of taxa: 	20

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4874.0	3955.0	4446.0	5574.0	4607.0	4843.0	5100.0	4636.0	3971.0	3583.0	4203.0	5786.0	3591.0	2856.0	2989.0	3510.0	2557.0	2829.0	2488.0	4193.0	2893.0	2822.0	3167.0	4004.0	3105.0	3087.0	2599.0	3951.0	2724.0	2923.0	2790.0	3179.0	2387.0	2114.0	2191.0	2476.0	2187.0	2637.0	2700.0	3857.0	2527.0	2961.0	2441.0	2993.0	2772.0	2932.0	3001.0	5067.0	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.1192039	0.1097345	0.1131354	0.1099749	0.1113523	0.1129465	0.1319608	0.13805	0.1312012	0.1328496	0.1256246	0.1126858	0.1183514	0.1285014	0.139177	0.1324786	0.1298397	0.13503	0.1121383	0.0953971	0.0998963	0.102764	0.0811494	0.0951548	0.0882448	0.0884354	0.100808	0.1065553	0.1141703	0.1074239	0.0967742	0.100346	0.1022204	0.0908231	0.0999544	0.0997577	0.1111111	0.1259006	0.1077778	0.0907441	0.1203008	0.0969267	0.1245391	0.1142666	0.0865801	0.0876535	0.1222926	0.1124926	
Columba sp. (<em class="sci">Columba sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Spotted Dove (<em class="sci">Streptopelia chinensis</em>)	0.4249077	0.3924147	0.3479532	0.3815931	0.3509876	0.3939707	0.4137255	0.4130716	0.3769831	0.4002233	0.3956698	0.3757345	0.3720412	0.3998599	0.3780529	0.385755	0.3824795	0.3884765	0.3629421	0.3136179	0.3152437	0.3125443	0.2687086	0.3069431	0.2760064	0.2921931	0.3001154	0.3085295	0.3274596	0.3404037	0.3326165	0.3479081	0.3317972	0.3689688	0.3441351	0.3436995	0.4115226	0.3602579	0.3466667	0.3518278	0.3767313	0.3559608	0.3965588	0.3952556	0.3391053	0.3417462	0.3952016	0.3777383	
Zebra Dove (<em class="sci">Geopelia striata</em>)	0.5279032	0.4963338	0.4489429	0.4739864	0.4237031	0.4699566	0.4927451	0.494176	0.4376731	0.4680435	0.4603854	0.4310404	0.4313562	0.452381	0.431917	0.4307692	0.4356668	0.4531637	0.4115756	0.3811114	0.3912893	0.3929837	0.3789075	0.3913586	0.3455717	0.3492063	0.3901501	0.3938243	0.4030837	0.4242217	0.4301075	0.435357	0.4323419	0.474456	0.4450023	0.4697092	0.5102881	0.4857793	0.4714815	0.4640913	0.4938662	0.4734887	0.5309299	0.5422653	0.4628427	0.4532742	0.5068311	0.5024669	
Mourning Dove (<em class="sci">Zenaida macroura</em>)	0.0172343	0.0151707	0.0137202	0.0172228	0.0171478	0.0173446	0.0137255	0.0187662	0.0226643	0.0209322	0.0211754	0.0178016	0.0178223	0.0136555	0.0147206	0.0139601	0.0172077	0.0144928	0.0180868	0.0128786	0.0179744	0.0109851	0.0088412	0.007992	0.0099839	0.0126336	0.0142362	0.0156922	0.0168869	0.0109477	0.0143369	0.0128971	0.0121491	0.0099338	0.0178001	0.0141357	0.0146319	0.0106181	0.0177778	0.0145191	0.0142461	0.0192503	0.0176157	0.0130304	0.0162338	0.0153479	0.0146618	0.012236	
pigeon/dove sp. (<em class="sci">Columbidae sp.</em>)	6.155E-4	0.0012642	4.498E-4	8.97E-4	8.682E-4	8.259E-4	5.882E-4	2.157E-4	0.001511	5.582E-4	0.0011896	0.0015	5.569E-4	0.0010504	0.0013382	0.0014245	0.0015643	0.0017674	4.019E-4	2.385E-4	0.0	0.0015	0.0	0.0015	6.441E-4	6.479E-4	3.848E-4	0.0015186	7.342E-4	0.0010263	7.168E-4	0.0	0.0	4.73E-4	0.0	0.0	0.0	7.584E-4	3.704E-4	7.778E-4	0.0011872	0.0010132	4.097E-4	0.0010023	0.001443	3.411E-4	3.332E-4	0.0011841	
Chestnut-bellied Sandgrouse (<em class="sci">Pterocles exustus</em>)	0.0036931	0.004804	0.0060729	0.0055615	0.0058606	0.0053686	0.0045098	0.0047455	0.0052883	0.0030701	0.0059481	0.0043208	0.0041771	0.0035014	0.0020074	0.0037037	0.0050841	0.0017674	0.0044212	0.0021464	0.0017283	0.0035436	0.002526	0.0037463	0.0022544	0.0025915	0.0038476	0.0048089	0.003304	0.0010263	0.0032258	0.0031456	0.0046083	0.0042573	0.0068462	0.0024233	0.003658	0.0022753	0.0025926	0.0046668	0.0035615	0.0040527	0.0057354	0.0036752	0.0025253	0.0047749	0.002999	0.002763	
Common Nighthawk (<em class="sci">Chordeiles minor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.039E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mariana Swiftlet (<em class="sci">Aerodramus bartschi</em>)	0.0014362	2.528E-4	0.0017994	8.97E-4	0.0010853	6.195E-4	5.882E-4	8.628E-4	0.0	5.582E-4	0.0035689	0.002074	0.0016708	0.0014006	3.346E-4	5.698E-4	7.822E-4	0.0014139	8.039E-4	4.77E-4	0.0017283	0.0031892	0.001263	0.001998	9.662E-4	0.0019436	0.0011543	0.0022779	0.0018355	0.0027369	0.0014337	0.0037748	8.379E-4	0.0018921	0.0022821	0.0028271	4.572E-4	3.792E-4	0.0011111	0.0015556	3.957E-4	0.0020263	0.0016387	6.682E-4	0.0025253	0.0015	0.0013329	9.868E-4	
Sora (<em class="sci">Porzana carolina</em>)	0.0	0.0010114	2.249E-4	7.176E-4	0.0	0.0	1.961E-4	2.157E-4	2.518E-4	0.0019537	2.379E-4	0.0	2.785E-4	3.501E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.564E-4	0.0	0.0	0.0	0.0	2.593E-4	0.0	0.0016886	8.193E-4	3.341E-4	7.215E-4	0.0010232	3.332E-4	3.947E-4	
Common Gallinule (<em class="sci">Gallinula galeata</em>)	0.0636028	0.0768647	0.0681511	0.0694295	0.0698936	0.0722693	0.0613725	0.0742019	0.0624528	0.0614011	0.0521056	0.0551331	0.0609858	0.0546218	0.0612245	0.0589744	0.0531873	0.0537292	0.0502412	0.0398283	0.0414794	0.0474841	0.0416798	0.0484515	0.0502415	0.0366051	0.0538669	0.0470767	0.0528634	0.050975	0.0655914	0.0651148	0.0632593	0.0610218	0.0579644	0.0726979	0.0685871	0.0800152	0.0696296	0.0733731	0.0890384	0.0756501	0.082753	0.0758436	0.0660173	0.0644611	0.0776408	0.068877	
Hawaiian Coot (<em class="sci">Fulica alai</em>)	0.1354124	0.1529709	0.140126	0.1390384	0.1276319	0.1321495	0.1311765	0.1361087	0.1281793	0.1236394	0.1246729	0.1068095	0.1008076	0.1179972	0.1033791	0.0940171	0.1044192	0.0993284	0.0823955	0.0646315	0.072589	0.0712261	0.0732554	0.0666833	0.0731079	0.0605766	0.0723355	0.0908631	0.0884728	0.1009237	0.1121864	0.1242529	0.1323837	0.1381268	0.1346417	0.1474152	0.1435757	0.1554797	0.1411111	0.1565984	0.1709537	0.1664978	0.17288	0.1553625	0.1536797	0.148704	0.1396201	0.1397276	
